sex,age,parch,fare,class,deck,embark_town,alive,alone
male,22.0,0,7.25,Third,,Southampton,no,False
female,38.0,0,71.2833,First,C,Cherbourg,yes,False
female,26.0,0,7.925,Third,,Southampton,yes,True
female,35.0,0,53.1,First,C,Southampton,yes,False
male,35.0,0,8.05,Third,,Southampton,no,True
male,,0,8.4583,Third,,Queenstown,no,True
male,54.0,0,51.8625,First,E,Southampton,no,True
male,2.0,1,21.075,Third,,Southampton,no,False
female,27.0,2,11.1333,Third,,Southampton,yes,False
female,14.0,0,30.0708,Second,,Cherbourg,yes,False
female,4.0,1,16.7,Third,G,Southampton,yes,False
female,58.0,0,26.55,First,C,Southampton,yes,True
male,20.0,0,8.05,Third,,Southampton,no,True
male,39.0,5,31.275,Third,,Southampton,no,False
female,14.0,0,7.8542,Third,,Southampton,no,True
female,55.0,0,16.0,Second,,Southampton,yes,True
male,2.0,1,29.125,Third,,Queenstown,no,False
male,,0,13.0,Second,,Southampton,yes,True
female,31.0,0,18.0,Third,,Southampton,no,False
female,,0,7.225,Third,,Cherbourg,yes,True
male,35.0,0,26.0,Second,,Southampton,no,True
male,34.0,0,13.0,Second,D,Southampton,yes,True
female,15.0,0,8.0292,Third,,Queenstown,yes,True
male,28.0,0,35.5,First,A,Southampton,yes,True
female,8.0,1,21.075,Third,,Southampton,no,False
female,38.0,5,31.3875,Third,,Southampton,yes,False
male,,0,7.225,Third,,Cherbourg,no,True
male,19.0,2,263.0,First,C,Southampton,no,False
female,,0,7.8792,Third,,Queenstown,yes,True
male,,0,7.8958,Third,,Southampton,no,True
male,40.0,0,27.7208,First,,Cherbourg,no,True
female,,0,146.5208,First,B,Cherbourg,yes,False
female,,0,7.75,Third,,Queenstown,yes,True
male,66.0,0,10.5,Second,,Southampton,no,True
male,28.0,0,82.1708,First,,Cherbourg,no,False
male,42.0,0,52.0,First,,Southampton,no,False
male,,0,7.2292,Third,,Cherbourg,yes,True
male,21.0,0,8.05,Third,,Southampton,no,True
female,18.0,0,18.0,Third,,Southampton,no,False
female,14.0,0,11.2417,Third,,Cherbourg,yes,False
female,40.0,0,9.475,Third,,Southampton,no,False
female,27.0,0,21.0,Second,,Southampton,no,False
male,,0,7.8958,Third,,Cherbourg,no,True
female,3.0,2,41.5792,Second,,Cherbourg,yes,False
female,19.0,0,7.8792,Third,,Queenstown,yes,True
male,,0,8.05,Third,,Southampton,no,True
male,,0,15.5,Third,,Queenstown,no,False
female,,0,7.75,Third,,Queenstown,yes,True
